Lon,Lat,Cafe,Delivery,Catalog,Pickup
37.719028,55.613143,False,True,True,False
37.752149,55.619574,False,True,True,True
37.712345,55.604758,False,True,True,True
37.733716,55.607356,True,True,True,True
37.738171,55.621226,True,True,True,True
37.74092,55.628047,False,True,True,False
37.71459,55.625323,False,True,True,True
37.739743,55.635462,False,False,True,False
37.735674,55.586649,False,True,True,True
37.720106,55.609675,True,True,True,True
37.725271,55.598858,False,False,True,False
37.709093,55.624505,True,True,True,True
37.511445,55.663842,False,True,True,False
37.541503,55.656031,False,True,True,False
37.549175,55.683097,False,True,True,True
37.554017,55.671443,True,True,True,True
37.575298,55.680057,False,True,True,True
37.545824,55.666056,False,True,True,True
37.527094,55.65949,False,True,True,False
37.578262,55.664685,False,True,True,True
37.57201,55.655453,False,True,True,True
37.595555,55.647534,False,False,True,False
37.595609,55.658347,False,True,True,True
37.518758,55.668635,False,True,True,False
37.571938,55.408297,False,True,True,True
37.538305,55.424311,True,True,True,True
37.493371,55.424255,False,True,True,True
37.550091,55.43013,False,True,True,True
37.557538,55.461814,False,True,True,True
37.494341,55.433261,False,False,True,False
37.504439,55.426549,False,True,True,True
37.501627,55.418752,False,False,True,False
37.5642384,55.4853348,True,True,True,True
37.609191,55.600974,False,True,True,True
37.60593,55.622604,False,True,True,True
37.615937,55.627565,False,True,True,True
37.603666,55.64221,False,True,True,True
37.589805,55.596691,False,True,True,True
37.600388,55.637393,False,True,True,True
37.659569,55.629227,False,False,True,False
37.677661,55.637886,False,True,True,True
37.656173,55.641229,False,True,True,True
37.657718,55.620377,False,True,True,True
37.66627,55.626086,False,False,True,False
37.40522,54.942092,False,True,True,True
37.5328089,55.3680474,False,True,True,True
37.459469,55.153262,False,True,True,True
37.426492,54.917515,False,False,True,False
37.22058,54.873429,False,True,True,True
37.44135,55.399229,False,False,True,False
38.062607,54.891448,False,True,True,True
38.090598,55.024389,False,False,True,False
37.756946,55.459695,True,True,True,True
37.43596,54.91543,False,False,True,False
37.521309,55.645476,True,True,True,False
37.517608,55.628535,False,True,True,False
37.537586,55.611963,False,True,True,True
37.536284,55.60667,False,False,True,False
37.513233,55.606889,False,False,True,False
37.54153,55.595094,False,True,True,True
37.536428,55.61027,False,True,True,True
37.53906,55.600318,False,True,True,True
37.521129,55.636306,False,True,True,False
37.532367,55.607489,True,True,True,False
37.542024,55.642154,False,True,True,True
37.507484,55.61813,False,True,True,False
37.494836,55.644328,True,True,True,False
44.773794,48.776219,False,True,True,True
48.069749,46.358866,True,True,True,True
44.757463,48.777982,False,True,True,True
44.562268,48.520061,False,True,True,True
44.506609,48.719801,False,True,True,True
44.502988,48.745377,False,True,True,True
44.800322,48.772425,False,True,True,True
44.541571,48.725964,True,True,True,True
